用例编号	验证用例子项
USER-01-0001	Google授权页唤起
USER-01-0009	Facebook授权页唤起
USER-01-0017	Apple ID授权页唤起
USER-01-0025	TikTok授权页唤起
USER-01-0037	默认登录方式
USER-01-0038	登录方式切换
USER-01-0039	登录方式切换
USER-01-0040	验证码重发倒计时
USER-01-0042	验证码重发恢复
USER-01-0056	手机号长度边界
USER-01-0057	手机号长度边界
USER-01-0059	默认登录方式
USER-01-0060	登录方式切换
USER-01-0061	登录方式切换
USER-01-0062	验证码重发倒计时
USER-01-0064	验证码重发恢复
USER-01-0077	邮箱格式校验
USER-01-0084	地区搜索空态
USER-01-0097	昵称必填校验
USER-01-0099	昵称长度上限
USER-01-0115	密码维护入口可见性
USER-01-0120	登录方式保留
USER-01-0121	登录方式保留
USER-05-0001	用户ID只读性
USER-05-0003	审核后头像生效
USER-05-0004	审核后昵称生效
USER-05-0009	个性签名保存
USER-05-0010	资料保存加载状态
USER-05-0013	审核失败输入保留
USER-05-0014	生效昵称保留
USER-05-0023	邮箱账号脱敏
USER-05-0024	密码设置状态
USER-05-0027	设置密码页面去向
USER-05-0028	修改密码页面去向
USER-05-0029	通知授权弹窗
USER-05-0048	注销提交取消
USER-05-0053	界面语言切换
USER-05-0054	界面语言切换
USER-05-0055	界面语言切换
USER-05-0056	界面语言切换
USER-05-0059	验证码接收手机号
USER-05-0060	验证码接收邮箱
USER-05-0061	验证码重发按钮状态
USER-05-0062	验证码重发恢复
USER-05-0074	验证码接收手机号
USER-05-0075	验证码接收邮箱
USER-05-0076	验证码重发按钮状态
USER-05-0077	验证码重发恢复
USER-05-0092	密码修改后页面去向
USER-05-0093	密码重置页面去向
USER-05-0101	关注人数统计
USER-05-0102	好友人数统计
USER-05-0106	充值页面去向
USER-05-0115	WhatsApp联系方式复制
USER-05-0116	客服邮箱复制
USER-05-0119	关注账号搜索结果
USER-05-0120	关注列表搜索恢复
USER-05-0121	关注搜索空态
USER-05-0127	取消拉黑确认弹窗
USER-05-0134	直播资格限制
USER-05-0137	审核中操作限制
USER-05-0143	装扮直接佩戴
USER-05-0144	装扮卸下状态
USER-05-0145	头像框佩戴互斥
USER-05-0146	聊天气泡佩戴互斥
USER-05-0147	勋章佩戴数量上限
USER-05-0151	永久装扮佩戴资格
USER-05-0153	装扮获得时间排序
USER-05-0157	装扮重复购买限制
USER-05-0158	装扮重复购买限制
USER-05-0168	购买后装扮持有状态
USER-05-0173	余额不足购买限制
USER-05-0174	已持有装扮购买限制
USER-05-0181	下架后持有装扮可用性
USER-05-0183	粉丝团列表空态
USER-05-0184	团籍加入时间排序
USER-05-0201	粉丝贡献同分排序
USER-05-0202	粉丝贡献同分排序
USER-05-0203	粉丝贡献同分排序
USER-05-0206	本人排名固定区域
USER-05-0210	贡献榜统计周期切换
USER-05-0211	贡献榜统计周期切换
USER-05-0212	贡献榜统计周期切换
USER-05-0227	退会后粉丝团解散
USER-05-0237	粉丝团名称展示
USER-05-0239	审核公会名称
